-0.04193958488532269,-0.08882399277556528,0.010199999999999999;0.0,0.0,0.34350948056213637,0.9391492089992576
1.4128346917258936,3.0314988225881017,0.0102;0.0,0.0,0.11511062216559612,0.9933526788933774
1.4974838033521558,2.281408009296837,0.0102;0.0,0.0,0.07185644361174354,0.9974149846034358
1.6296398016279827,1.4617992377591547,0.0102;0.0,0.0,0.07214590937638982,0.997394088492735
1.7891876967063711,0.6209652252079119,0.0102;0.0,0.0,-0.005679318202515465,0.9999838725423299
1.9150393764830873,-0.21134129264055662,0.010199999999999999;0.0,0.0,-0.2439218105436791,0.9697949011729714
0.20461857551725132,1.6533389602064918,0.010200000000000004;0.0,0.0,0.9964777382330111,-0.08385772001445518
0.4272674336836944,0.83219598399239,0.0102;0.0,0.0,0.9947478059045937,-0.10235625358519646
1.0648070049458176,-0.302468245750806,0.010199999999999999;0.0,0.0,-0.6178099553656561,0.7863274502718863
-0.8334473332557941,2.584811945485156,0.0102;0.0,0.0,-0.9617331318932912,0.2739879249505739
